"rank","title","rating","year","runTime","genre","votes","gross","staff","description"
"462.","The Green Hornet","5.8","(2011)","119 min","
Action, Comedy            ","152,412","$98.78M","
    Director:
Michel Gondry
                 | 
    Stars:
Seth Rogen, 
Jay Chou, 
Christoph Waltz, 
Cameron Diaz
    ","
    Following the death of his father, Britt Reid, heir to his father's large company, teams up with his late dad's assistant Kato to become a masked crime fighting team."
"463.","Horrible Bosses 2","6.3","(2014)","108 min","
Comedy, Crime            ","152,397","$54.45M","
    Director:
Sean Anders
                 | 
    Stars:
Jason Bateman, 
Jason Sudeikis, 
Charlie Day, 
Jennifer Aniston
    ","
    Dale, Kurt and Nick decide to start their own business but things don't go as planned because of a slick investor, prompting the trio to pull off a harebrained and misguided kidnapping scheme."
"464.","Evil Dead","6.5","(2013)","91 min","
Fantasy, Horror, Thriller            ","152,067","$54.24M","
    Director:
Fede Alvarez
                 | 
    Stars:
Jane Levy, 
Shiloh Fernandez, 
Jessica Lucas, 
Lou Taylor Pucci
    ","
    Five friends head to a remote cabin, where the discovery of a Book of the Dead leads them to unwittingly summon up demons living in the nearby woods."
"465.","PK","8.1","(2014)","153 min","
Comedy, Drama, Fantasy            ","152,006","$10.62M","
    Director:
Rajkumar Hirani
                 | 
    Stars:
Aamir Khan, 
Anushka Sharma, 
Sanjay Dutt, 
Boman Irani
    ","
    An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of religion on its people."
"466.","Rise of the Guardians","7.3","(2012)","97 min","
Animation, Action, Adventure            ","151,546","$103.41M","
    Director:
Peter Ramsey
                 | 
    Stars:
Hugh Jackman, 
Alec Baldwin, 
Isla Fisher, 
Chris Pine
    ","
    When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world."
"467.","Cars 2","6.1","(2011)","106 min","
Animation, Adventure, Comedy            ","151,238","$191.45M","
    Directors:
John Lasseter, 
Bradford Lewis
                 | 
    Stars:
Owen Wilson, 
Larry the Cable Guy, 
Michael Caine, 
Emily Mortimer
    ","
    Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage."
"468.","Central Intelligence","6.3","(2016)","107 min","
Action, Comedy, Crime            ","151,124","$127.44M","
    Director:
Rawson Marshall Thurber
                 | 
    Stars:
Dwayne Johnson, 
Kevin Hart, 
Danielle Nicolet, 
Amy Ryan
    ","
    After he reconnects with an awkward pal from high school through Facebook, a mild-mannered accountant is lured into the world of international espionage."
"469.","First Man","7.3","(2018)","141 min","
Biography, Drama, History            ","151,044","$44.94M","
    Director:
Damien Chazelle
                 | 
    Stars:
Ryan Gosling, 
Claire Foy, 
Jason Clarke, 
Kyle Chandler
    ","
    A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969."
"470.","Inferno","6.2","(I) (2016)","121 min","
Action, Adventure, Crime            ","150,276","$34.34M","
    Director:
Ron Howard
                 | 
    Stars:
Tom Hanks, 
Felicity Jones, 
Irrfan Khan, 
Ben Foster
    ","
    When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."
"471.","Riddick","6.4","(2013)","119 min","
Action, Adventure, Sci-Fi            ","150,226","$42.03M","
    Director:
David Twohy
                 | 
    Stars:
Vin Diesel, 
Karl Urban, 
Katee Sackhoff, 
Jordi Moll¨¤
    ","
    Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past."
"472.","Legend","6.9","(I) (2015)","132 min","
Biography, Crime, Drama            ","149,858","$1.87M","
    Director:
Brian Helgeland
                 | 
    Stars:
Tom Hardy, 
Emily Browning, 
Taron Egerton, 
Paul Anderson
    ","
    Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s."
"473.","Miss Peregrine's Home for Peculiar Children","6.7","(2016)","127 min","
Adventure, Drama, Family            ","149,375","$87.24M","
    Director:
Tim Burton
                 | 
    Stars:
Eva Green, 
Asa Butterfield, 
Samuel L. Jackson, 
Judi Dench
    ","
    When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
"474.","American Made","7.1","(2017)","115 min","
Action, Biography, Comedy            ","149,044","$51.34M","
    Director:
Doug Liman
                 | 
    Stars:
Tom Cruise, 
Domhnall Gleeson, 
Sarah Wright, 
Jesse Plemons
    ","
    The story of Barry Seal, an American pilot who became a drug-runner for the CIA in the 1980s in a clandestine operation that would be exposed as the Iran-Contra Affair."
"475.","The Sorcerer's Apprentice","6.1","(2010)","109 min","
Action, Adventure, Family            ","149,032","$63.15M","
    Director:
Jon Turteltaub
                 | 
    Stars:
Nicolas Cage, 
Jay Baruchel, 
Alfred Molina, 
Teresa Palmer
    ","
    Master sorcerer Balthazar Blake must find and train Merlin's descendant to defeat dark sorceress Morgana la F¨¦e."
"476.","Insidious: Chapter 2","6.6","(2013)","106 min","
Horror, Mystery, Thriller            ","148,974","$83.59M","
    Director:
James Wan
                 | 
    Stars:
Patrick Wilson, 
Rose Byrne, 
Barbara Hershey, 
Lin Shaye
    ","
    The Lamberts believe that they have defeated the spirits that have haunted their family, but they soon discover that evil is not beaten so easily."
"477.","Date Night","6.3","(2010)","88 min","
Comedy, Crime, Romance            ","148,830","$98.71M","
    Director:
Shawn Levy
                 | 
    Stars:
Steve Carell, 
Tina Fey, 
Mark Wahlberg, 
Taraji P. Henson
    ","
    In New York City, a case of mistaken identity turns a bored married couple's attempt at a glamorous and romantic evening into something more thrilling and dangerous."
"478.","Midsommar","7.1","(2019)","148 min","
Drama, Horror, Mystery            ","147,993","$27.33M","
    Director:
Ari Aster
                 | 
    Stars:
Florence Pugh, 
Jack Reynor, 
Vilhelm Blomgren, 
William Jackson Harper
    ","
    A couple travels to Sweden to visit a rural hometown's fabled mid-summer festival. What begins as an idyllic retreat quickly devolves into an increasingly violent and bizarre competition at the hands of a pagan cult."
"479.","Sin City: A Dame to Kill For","6.5","(2014)","102 min","
Action, Crime, Thriller            ","147,854","$13.76M","
    Directors:
Frank Miller, 
Robert Rodriguez
                 | 
    Stars:
Mickey Rourke, 
Jessica Alba, 
Josh Brolin, 
Joseph Gordon-Levitt
    ","
    Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants."
"480.","The Age of Adaline","7.2","(2015)","112 min","
Drama, Fantasy, Romance            ","147,652","$42.48M","
    Director:
Lee Toland Krieger
                 | 
    Stars:
Blake Lively, 
Michiel Huisman, 
Harrison Ford, 
Kathy Baker
    ","
    A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into."
"481.","Fast & Furious Presents: Hobbs & Shaw","6.5","(2019)","137 min","
Action, Adventure            ","147,578","$173.96M","
    Director:
David Leitch
                 | 
    Stars:
Dwayne Johnson, 
Jason Statham, 
Idris Elba, 
Vanessa Kirby
    ","
    Lawman Luke Hobbs (Dwayne ""The Rock"" Johnson) and outcast Deckard Shaw (Jason Statham) form an unlikely alliance when a cyber-genetically enhanced villain threatens the future of humanity."
"482.","Steve Jobs","7.2","(2015)","122 min","
Biography, Drama            ","147,083","$17.77M","
    Director:
Danny Boyle
                 | 
    Stars:
Michael Fassbender, 
Kate Winslet, 
Seth Rogen, 
Jeff Daniels
    ","
    Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac."
"483.","Saving Mr. Banks","7.5","(2013)","125 min","
Biography, Comedy, Drama            ","147,028","$83.30M","
    Director:
John Lee Hancock
                 | 
    Stars:
Emma Thompson, 
Tom Hanks, 
Annie Rose Buckley, 
Colin Farrell
    ","
    Author P.L. Travers reflects on her childhood after reluctantly meeting with Walt Disney, who seeks to adapt her Mary Poppins books for the big screen."
"484.","The Mechanic","6.6","(2011)","93 min","
Action, Thriller            ","146,696","$29.12M","
    Director:
Simon West
                 | 
    Stars:
Jason Statham, 
Ben Foster, 
Donald Sutherland, 
Tony Goldwyn
    ","
    An elite hitman teaches his trade to an apprentice who has a connection to one of his previous victims."
"485.","Abraham Lincoln: Vampire Hunter","5.9","(2012)","105 min","
Action, Fantasy, Horror            ","146,334","$37.52M","
    Director:
Timur Bekmambetov
                 | 
    Stars:
Benjamin Walker, 
Rufus Sewell, 
Dominic Cooper, 
Anthony Mackie
    ","
    Abraham Lincoln, the 16th President of the United States, discovers vampires are planning to take over the United States. He makes it his mission to eliminate them."
"486.","Fantastic Four","4.3","(2015)","100 min","
Action, Adventure, Sci-Fi            ","146,012","$56.12M","
    Director:
Josh Trank
                 | 
    Stars:
Miles Teller, 
Kate Mara, 
Michael B. Jordan, 
Jamie Bell
    ","
    Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy."
"487.","The Master","7.2","(2012)","138 min","
Drama            ","145,604","$16.38M","
    Director:
Paul Thomas Anderson
                 | 
    Stars:
Philip Seymour Hoffman, 
Joaquin Phoenix, 
Amy Adams, 
Jesse Plemons
    ","
    A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by the Cause and its charismatic leader."
"488.","Buried","7.0","(2010)","95 min","
Drama, Mystery, Thriller            ","145,115","$1.03M","
    Director:
Rodrigo Cort¨¦s
                 | 
    Stars:
Ryan Reynolds, 
Jos¨¦ Luis Garc¨ªa P¨¦rez, 
Robert Paterson, 
Stephen Tobolowsky
    ","
    Paul is a U.S. truck driver working in Iraq. After an attack by a group of Iraqis he wakes to find he is buried alive inside a coffin. With only a lighter and a cell phone it's a race against time to escape this claustrophobic death trap."
"489.","What We Do in the Shadows","7.7","(2014)","86 min","
Comedy, Horror            ","143,802","$3.33M","
    Directors:
Jemaine Clement, 
Taika Waititi
                 | 
    Stars:
Jemaine Clement, 
Taika Waititi, 
Cori Gonzalez-Macuer, 
Jonny Brugh
    ","
    Viago, Deacon and Vladislav are vampires who are finding that modern life has them struggling with the mundane - like paying rent, keeping up with the chore wheel, trying to get into nightclubs and overcoming flatmate conflicts."
"490.","Deepwater Horizon","7.1","(2016)","107 min","
Action, Drama, History            ","143,395","$61.43M","
    Director:
Peter Berg
                 | 
    Stars:
Mark Wahlberg, 
Kurt Russell, 
Douglas M. Griffin, 
James DuMont
    ","
    A dramatization of the disaster in April 2010, when the offshore drilling rig called the Deepwater Horizon exploded, resulting in the worst oil spill in American history."
"491.","The Last Airbender","4.1","(2010)","103 min","
Action, Adventure, Family            ","143,045","$131.56M","
    Director:
M. Night Shyamalan
                 | 
    Stars:
Noah Ringer, 
Nicola Peltz, 
Jackson Rathbone, 
Dev Patel
    ","
    Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom."
"492.","Underworld Awakening","6.4","(2012)","88 min","
Action, Drama, Fantasy            ","142,535","$62.32M","
    Directors:
M<U+00E5>ns M<U+00E5>rlind, 
Bj<U+00F6>rn Stein
                 | 
    Stars:
Kate Beckinsale, 
Michael Ealy, 
India Eisley, 
Stephen Rea
    ","
    When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind."
"493.","War Horse","7.2","(2011)","146 min","
Action, Adventure, Drama            ","142,212","$79.88M","
    Director:
Steven Spielberg
                 | 
    Stars:
Jeremy Irvine, 
Emily Watson, 
David Thewlis, 
Benedict Cumberbatch
    ","
    Young Albert enlists to serve in World War I after his beloved horse is sold to the cavalry. Albert's hopeful journey takes him out of England and to the front lines as the war rages on."
